payload,platform,launch,monitors,sensor,spacecraft-orbits,hq,area_monitored,lifetime_to_first_replacement,avg_lifetime,replacement_costs,missile_range,missile_interception,system_cost,probability_of_success
laser,gnd&air,ak&jap&wc&hw&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,380,0.98,8138,0.9307940203114666
laser,air&sea,jap&med,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,cent,5972800,4,14.142857142857142,7721.5,380,0.98,7962,0.9757814341280797
inc,gnd&air,ak,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,disp,5972800,4,14.142857142857142,7721.5,1000,0.9,3388,0.7693384065390001
kinetic,gnd,ak&jap&med&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,125,0.75,8908,0.7053414949520156
inc,gnd,ak&jap&med&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,9118.58,0.8379456960029945
inc,gnd&air,ak&jap&med&wc&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,9648.58,0.8462674869115095
laser,sea,ak&jap&med&wc,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,cent,5972800,4,14.142857142857142,7721.5,380,0.98,9432,0.9398145570404473
inc,gnd,jap&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,7218.58,0.8373486373048913
laser,gnd,ak&jap&med&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,380,0.98,8608,0.9216462200706337
kinetic,gnd&air&sea,med&wc&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,125,0.75,7062,0.7116856269850609
inc,sea,ak&jap&med&wc&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,10792.58,0.8544912884130659
inc,gnd&sea,jap&med&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,9842.58,0.8460712300248419
inc,air,med&hw,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,5298.58,0.833702162895
